"location","date","Alpha (WHO VOC)","B (Lineage)","Delta (WHO VOC)","Iota (WHO VOI)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Other","Unknown"
"Afghanistan","2020-03-08","0","0","0","0","0","0","0","8"
"Afghanistan","2020-03-22","0","0","0","0","0","0","0","28"
"Afghanistan","2020-04-05","0","0","0","0","0","0","0","265"
"Afghanistan","2020-04-19","0","0","0","0","0","0","0","634"
"Afghanistan","2020-05-03","0","0","0","0","0","0","0","1536"
"Afghanistan","2020-05-17","0","0","0","0","0","0","0","4166"
"Afghanistan","2020-05-31","0","8545","0","0","0","0","0","0"
"Afghanistan","2020-06-14","0","9672","0","0","0","0","0","0"
"Afghanistan","2020-06-28","0","6201","0","0","0","0","0","0"
"Afghanistan","2020-07-12","0","0","0","0","0","0","0","3484"
"Afghanistan","2020-07-26","0","0","0","0","0","0","0","1706"
"Afghanistan","2020-08-09","0","0","0","0","0","0","0","897"
"Afghanistan","2020-08-23","0","0","0","0","0","0","0","899"
"Afghanistan","2020-09-06","0","0","0","0","0","0","0","445"
"Afghanistan","2020-09-20","0","0","0","0","0","0","0","646"
"Afghanistan","2020-10-04","0","0","0","0","0","0","0","297"
"Afghanistan","2020-10-18","0","0","0","0","0","0","0","859"
"Afghanistan","2020-11-01","0","0","0","0","0","0","0","1139"
"Afghanistan","2020-11-15","0","0","0","0","0","0","0","1610"
"Afghanistan","2020-11-29","0","0","0","0","0","0","0","2931"
"Afghanistan","2020-12-13","0","0","0","0","0","0","0","2986"
"Afghanistan","2020-12-27","0","0","0","0","0","0","0","2896"
"Afghanistan","2021-01-10","0","0","0","0","0","0","0","1641"
"Afghanistan","2021-01-24","0","1106","0","0","0","0","0","0"
"Afghanistan","2021-02-07","0","0","0","0","0","0","0","740"
"Afghanistan","2021-02-21","0","0","0","0","0","0","0","269"
"Afghanistan","2021-03-07","0","0","0","0","0","0","0","243"
"Afghanistan","2021-03-21","256","0","0","0","0","0","0","0"
"Afghanistan","2021-04-04","573","0","0","0","0","0","0","0"
"Afghanistan","2021-04-18","639","320","0","160","0","0","0","0"
"Afghanistan","2021-05-02","1613","538","180","0","0","0","0","0"
"Afghanistan","2021-05-16","1934","0","1345","0","0","0","85","0"
"Afghanistan","2021-05-30","6307","0","971","0","0","0","0","0"
"Afghanistan","2021-06-13","0","0","0","0","0","0","0","19100"
"Afghanistan","2021-06-27","0","0","0","0","0","0","0","24359"
"Afghanistan","2021-07-11","0","0","0","0","0","0","0","19358"
"Afghanistan","2021-07-25","0","0","0","0","0","0","0","10293"
"Afghanistan","2021-08-08","0","0","0","0","0","0","0","6587"
"Afghanistan","2021-08-22","0","0","0","0","0","0","0","2053"
"Afghanistan","2021-09-05","0","0","0","0","0","0","0","912"
"Afghanistan","2021-09-19","0","0","0","0","0","0","0","1064"
"Afghanistan","2021-10-03","0","0","0","0","0","0","0","704"
"Afghanistan","2021-10-17","0","0","0","0","0","0","0","573"
"Afghanistan","2021-10-31","0","0","0","0","0","0","0","486"
"Afghanistan","2021-11-14","0","0","0","0","0","0","0","302"
"Afghanistan","2021-11-28","0","0","0","0","0","0","0","666"
"Afghanistan","2021-12-12","0","0","0","0","0","0","0","415"
"Afghanistan","2021-12-26","0","0","0","0","0","0","0","318"
"Afghanistan","2022-01-09","0","0","0","0","0","0","0","436"
"Afghanistan","2022-01-23","0","0","0","0","0","0","0","1268"
"Afghanistan","2022-02-06","0","0","0","0","0","0","0","6542"
"Afghanistan","2022-02-20","0","0","0","0","3007","1504","1504","0"
"Afghanistan","2022-03-06","0","0","0","0","0","0","0","2377"
"Afghanistan","2022-03-20","0","0","0","0","0","0","0","2511"
"Afghanistan","2022-04-03","0","367","0","0","0","184","184","0"
"Afghanistan","2022-04-17","0","355","0","0","0","237","0","0"
"Afghanistan","2022-05-01","0","0","0","0","0","0","0","481"
"Afghanistan","2022-05-15","0","0","0","0","0","0","0","368"
"Afghanistan","2022-05-29","0","0","0","0","0","0","0","907"
"Afghanistan","2022-06-12","0","0","0","0","0","0","0","690"
"Afghanistan","2022-06-26","0","0","0","0","0","0","0","1285"
"Afghanistan","2022-07-10","0","0","0","0","0","0","0","1116"
"Afghanistan","2022-07-24","0","0","0","0","0","0","0","1322"
"Afghanistan","2022-08-07","0","0","0","0","0","0","0","2855"
"Afghanistan","2022-08-21","0","0","0","0","0","0","0","3201"
"Afghanistan","2022-09-04","0","0","0","0","0","0","0","3520"
"Afghanistan","2022-09-18","0","0","0","0","0","0","0","3077"
"Afghanistan","2022-10-02","0","0","0","0","0","0","0","2146"
"Afghanistan","2022-10-16","0","0","0","0","0","0","0","1826"
"Afghanistan","2022-10-30","0","0","0","0","0","0","0","1366"
